Order_ID,Item_ID,Quantity,Item_Price
1,33,3,5.0
1,36,3,5.5
1,23,2,4.5
2,44,3,4.25
3,48,3,5.5
3,14,3,5.25
3,10,3,4.25
3,3,2,5.25
4,13,2,4.5
4,46,3,4.0
4,16,1,4.0
4,23,1,4.5
4,32,3,4.25
5,11,3,5.0
5,24,5,5.25
5,36,1,5.5
5,33,1,5.0
5,18,1,5.5
5,34,3,4.0
5,5,6,4.75
5,39,5,5.5
5,9,4,5.5
5,40,2,4.0
5,32,3,4.25
5,8,1,4.75
5,28,2,4.0
5,47,3,4.75
5,46,3,4.0
5,1,1,3.75
5,37,3,4.0
5,17,2,4.75
5,15,3,6.0
5,26,3,4.75
5,42,2,5.5
5,31,2,3.5
5,44,3,4.25
6,34,2,4.0
6,10,3,4.25
6,30,1,5.5
6,47,2,4.75
6,18,2,5.5
6,16,2,4.0
6,42,1,5.5
6,14,1,5.25
6,36,2,5.5
6,20,1,4.5
6,41,1,4.75
6,29,2,4.75
6,39,3,5.5
6,3,2,5.25
6,27,1,5.5
6,25,2,4.0
6,7,3,4.0
6,37,1,4.0
6,12,1,5.75
6,33,3,5.0
7,28,9,4.0
7,6,8,5.5
7,9,2,5.5
7,43,3,3.5
7,14,2,5.25
7,19,2,3.75
7,32,3,4.25
7,20,2,4.5
7,42,2,5.5
7,11,3,5.0
7,12,2,5.75
7,44,1,4.25
7,17,3,4.75
7,18,2,5.5
7,24,3,5.25
7,26,2,4.75
7,8,3,4.75
8,4,1,4.0
8,3,2,5.25
8,20,1,4.5
9,36,3,5.5
9,45,3,5.0
9,31,3,3.5
9,20,3,4.5
9,35,2,4.75
9,39,3,5.5
10,31,2,3.5
10,40,3,4.0
10,19,3,3.75
10,11,1,5.0
10,36,3,5.5
10,43,2,3.5
10,23,1,4.5
10,4,3,4.0
10,30,6,5.5
10,8,3,4.75
10,6,3,5.5
10,34,2,4.0
10,7,3,4.0
10,15,2,6.0
10,14,1,5.25
10,20,3,4.5
10,33,1,5.0
10,22,4,3.75
10,27,4,5.5
10,10,2,4.25
10,29,3,4.75
11,11,3,5.0
11,9,3,5.5
11,2,4,4.5
11,25,3,4.0
11,1,2,3.75
11,23,1,4.5
11,13,2,4.5
11,39,2,5.5
11,33,3,5.0
11,4,4,4.0
11,34,2,4.0
11,29,3,4.75
11,24,4,5.25
11,21,4,5.25
11,45,3,5.0
11,6,1,5.5
11,43,2,3.5
11,37,3,4.0
12,13,4,4.5
12,29,2,4.75
13,20,2,4.5
13,45,2,5.0
13,8,3,4.75
14,4,3,4.0
14,16,1,4.0
14,33,1,5.0
14,19,5,3.75
14,37,3,4.0
14,38,3,4.75
14,30,2,5.5
14,26,3,4.75
14,13,3,4.5
14,20,3,4.5
14,2,2,4.5
14,40,2,4.0
14,42,3,5.5
14,23,1,4.5
