Order_ID,Item_ID,Quantity,Item_Price
1,11,3,4.25
1,5,1,5.25
1,8,1,4.5
1,12,3,4.75
1,10,3,4.75
1,8,1,4.5
1,6,2,4.75
1,9,3,4.75
1,6,1,4.75
1,13,1,4.75
1,1,1,4.5
1,11,2,4.25
1,13,3,4.75
1,8,2,4.5
1,14,1,4.75
1,8,1,4.5
1,12,3,4.75
1,15,3,4.25
1,7,3,4.5
1,1,1,4.5
1,6,1,4.75
1,12,1,4.75
1,15,3,4.25
1,1,2,4.5
1,7,3,4.5
1,10,2,4.75
1,8,1,4.5
1,5,3,5.25
1,9,3,4.75
1,13,1,4.75
1,4,1,5
1,1,1,4.5
1,2,1,4.75
2,9,1,4.75
2,10,3,4.75
2,11,1,4.25
2,3,1,4.75
2,9,3,4.75
2,15,3,4.25
2,14,2,4.75
2,4,2,5
2,10,1,4.75
2,11,2,4.25
2,8,3,4.5
2,13,3,4.75
2,5,2,5.25
2,7,1,4.5
2,4,1,5
2,3,2,4.75
2,12,2,4.75
2,7,1,4.5
2,7,3,4.5
2,3,2,4.75
3,12,2,4.75
3,14,2,4.75
3,2,2,4.75
3,8,1,4.5
3,11,2,4.25
3,16,3,4.75
3,1,3,4.5
3,10,1,4.75
3,5,2,5.25
3,11,1,4.25
3,2,1,4.75
3,14,2,4.75
3,7,2,4.5
4,15,2,4.25
4,2,2,4.75
4,14,2,4.75
4,7,1,4.5
4,10,1,4.75
4,13,1,4.75
4,7,1,4.5
4,4,1,5
4,5,2,5.25
4,6,3,4.75
4,9,1,4.75
4,3,1,4.75
4,10,2,4.75
4,7,3,4.5
4,7,2,4.5
4,11,3,4.25
4,7,3,4.5
4,8,3,4.5
4,6,3,4.75
4,12,2,4.75
4,12,3,4.75
4,11,3,4.25
4,15,3,4.25
4,9,2,4.75
4,3,1,4.75
4,14,3,4.75
4,15,2,4.25
5,5,2,5.25
5,1,1,4.5
5,10,3,4.75
5,15,1,4.25
5,13,2,4.75
5,7,1,4.5
5,11,3,4.25
5,4,1,5
5,15,3,4.25
5,8,2,4.5
5,14,3,4.75
5,15,2,4.25
5,5,2,5.25
5,1,2,4.5
5,11,2,4.25
5,1,3,4.5
5,16,3,4.75
5,10,3,4.75
5,7,3,4.5
5,6,2,4.75
5,4,1,5
5,8,1,4.5
6,4,3,5
6,13,2,4.75
6,16,2,4.75
6,4,1,5
6,7,1,4.5
6,5,1,5.25
6,13,2,4.75
6,16,1,4.75
6,7,2,4.5
6,3,1,4.75
6,4,1,5
6,16,1,4.75
6,6,1,4.75
6,6,1,4.75
7,2,1,4.75
7,3,2,4.75
7,9,2,4.75
7,16,2,4.75
7,6,2,4.75
7,5,2,5.25
7,1,3,4.5
7,9,2,4.75
7,13,3,4.75
7,4,3,5
7,16,2,4.75
7,10,2,4.75
7,13,3,4.75
7,8,3,4.5
7,10,2,4.75
8,12,2,4.75
8,10,2,4.75
8,2,3,4.75
8,5,1,5.25
8,1,2,4.5
8,12,3,4.75
8,1,3,4.5
9,9,3,4.75
9,5,3,5.25
9,13,3,4.75
9,13,1,4.75
9,4,2,5
9,9,3,4.75
9,4,2,5
9,7,3,4.5
9,10,3,4.75
9,15,1,4.25
9,11,3,4.25
9,12,2,4.75
9,7,3,4.5
9,12,3,4.75
9,5,3,5.25
9,4,3,5
9,9,1,4.75
9,14,2,4.75
9,6,1,4.75
9,12,1,4.75
10,3,1,4.75
10,3,2,4.75
10,8,2,4.5
10,9,1,4.75
10,14,1,4.75
10,8,3,4.5
10,16,1,4.75
10,5,1,5.25
10,2,2,4.75
10,2,1,4.75
10,14,2,4.75
10,2,1,4.75
10,12,3,4.75
10,3,3,4.75
10,2,2,4.75
10,2,2,4.75
10,13,1,4.75
10,2,1,4.75
11,3,1,4.75
11,11,3,4.25
11,10,2,4.75
11,5,2,5.25
11,7,1,4.5
11,7,3,4.5
11,1,1,4.5
11,3,1,4.75
11,4,3,5
11,5,2,5.25
11,6,1,4.75
11,6,3,4.75
11,2,3,4.75
11,10,2,4.75
11,6,2,4.75
11,7,1,4.5
11,9,2,4.75
11,5,2,5.25
11,14,1,4.75
11,12,1,4.75
11,10,1,4.75
11,8,2,4.5
11,4,1,5
11,16,1,4.75
11,6,2,4.75
11,1,3,4.5
11,6,2,4.75
11,6,3,4.75
11,15,2,4.25
11,6,1,4.75
11,6,1,4.75
12,14,1,4.75
12,16,2,4.75
12,10,3,4.75
12,14,3,4.75
12,5,2,5.25
13,2,2,4.75
13,16,3,4.75
13,8,1,4.5
13,9,2,4.75
13,15,1,4.25
13,12,1,4.75
13,12,1,4.75
13,1,2,4.5
13,15,2,4.25
13,7,3,4.5
13,15,3,4.25
13,16,2,4.75
13,1,2,4.5
13,7,1,4.5
13,11,2,4.25
13,3,3,4.75
13,10,1,4.75
13,11,2,4.25
13,6,2,4.75
13,5,2,5.25
14,14,2,4.75
14,2,3,4.75
14,9,2,4.75
14,5,2,5.25
14,15,2,4.25
14,2,3,4.75
14,13,3,4.75
14,13,3,4.75
14,5,3,5.25
14,5,3,5.25
14,8,3,4.5
14,10,2,4.75
14,15,1,4.25
14,13,3,4.75
14,15,3,4.25
14,7,3,4.5
14,9,1,4.75
14,6,3,4.75
14,9,3,4.75
14,7,2,4.5
14,8,3,4.5
14,2,3,4.75
15,14,1,4.75
15,15,2,4.25
15,8,1,4.5
15,10,3,4.75
15,4,1,5
15,7,1,4.5
15,8,3,4.5
15,3,3,4.75
15,13,1,4.75
15,3,3,4.75
15,16,1,4.75
15,7,3,4.5
15,2,1,4.75
15,12,3,4.75
15,10,1,4.75
15,15,3,4.25
15,15,3,4.25
15,14,1,4.75
15,16,2,4.75
15,2,2,4.75
15,6,3,4.75
15,2,1,4.75
15,4,2,5
16,14,3,4.75
16,10,1,4.75
16,16,3,4.75
16,9,1,4.75
16,8,1,4.5
16,14,1,4.75
16,12,2,4.75
16,7,2,4.5
16,14,3,4.75
16,8,2,4.5
16,9,3,4.75
16,11,3,4.25
16,9,1,4.75
16,2,1,4.75
16,3,3,4.75
16,4,1,5
16,4,2,5
16,6,1,4.75
16,4,1,5
16,8,1,4.5
16,4,1,5
16,14,3,4.75
16,13,1,4.75
17,14,2,4.75
17,15,3,4.25
17,10,3,4.75
17,3,1,4.75
17,6,1,4.75
17,5,3,5.25
17,2,3,4.75
17,9,2,4.75
17,8,3,4.5
17,11,1,4.25
17,3,2,4.75
17,12,2,4.75
17,3,2,4.75
17,9,3,4.75
17,16,2,4.75
17,11,3,4.25
17,7,2,4.5
17,3,1,4.75
17,15,2,4.25
17,7,2,4.5
17,12,3,4.75
17,12,3,4.75
17,14,3,4.75
18,7,3,4.5
18,5,1,5.25
18,12,2,4.75
18,3,2,4.75
18,10,1,4.75
18,5,2,5.25
18,9,2,4.75
18,14,2,4.75
18,3,3,4.75
18,5,3,5.25
18,5,3,5.25
18,9,2,4.75
18,3,1,4.75
18,11,3,4.25
18,4,1,5
18,5,3,5.25
18,11,3,4.25
18,9,3,4.75
18,9,1,4.75
19,15,2,4.25
19,4,1,5
19,9,1,4.75
19,2,2,4.75
19,3,1,4.75
19,12,2,4.75
19,16,2,4.75
19,4,1,5
19,8,2,4.5
19,3,2,4.75
19,7,1,4.5
19,12,2,4.75
19,1,2,4.5
19,14,1,4.75
19,11,2,4.25
19,4,2,5
19,15,2,4.25
19,16,3,4.75
19,10,3,4.75
19,9,1,4.75
19,3,2,4.75
19,6,3,4.75
19,12,3,4.75
19,11,2,4.25
19,2,3,4.75
19,10,2,4.75
19,10,1,4.75
19,1,3,4.5
19,4,3,5
19,7,1,4.5
